block_id,model_category,shape_family,support_class,shape_description,geometry_details,average_color_hex,average_color_r,average_color_g,average_color_b,average_alpha_coverage,face_color_summary,different_faces,tint_policy,material_tags,model_count,blockstate_model_ref_count,rotated_by_blockstate,model_sources,parent_models,texture_sources,confidence,notes
minecraft:acacia_wall_sign,entity_block,entity_renderer,entity_or_block_entity_renderer,Special renderer/entity-style block; normal model geometry is not authoritative.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. This block is rendered by an entity, block entity, or special renderer rather than by a normal solid block model. Treat its world geometry as renderer-defined; this CSV intentionally does not infer a precise color or cuboid mesh from the block model.",,,,,,,,none,,1,1,no,minecraft:block/acacia_sign,,,high,Average color intentionally omitted because this is handled by entity/block-entity rendering.
minecraft:acacia_wood,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#696258,105,98,88,1.000,down=#696258;up=#696258;north=#696258;south=#696258;west=#696258;east=#696258,,none,wood;neutral,1,3,yes,minecraft:block/acacia_wood,block;cube;cube_column,minecraft:block/acacia_log,medium,
minecraft:activator_rail,irregular_dependent,floor_rail,dependent_on_support_or_counterpart,Irregular low rail strips laid on a supporting block; shape/orientation changes by rail state.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Rail geometry is a very low, mostly planar track on the supporting block. Flat states lie close to y=0 with thin strips across the footprint; ascending states raise one end toward the neighboring block, making an inclined ramp-like strip. shape/facing values choose straight, corner, or ascending orientation.",#896D62,137,109,98,1.000,,,none,,6,12,yes,minecraft:block/activator_rail;minecraft:block/activator_rail_on;minecraft:block/activator_rail_on_raised_ne;minecraft:block/activator_rail_on_raised_sw;minecraft:block/activator_rail_raised_ne;minecraft:block/activator_rail_raised_sw,rail_flat;template_rail_raised_ne;template_rail_raised_sw,minecraft:block/activator_rail;minecraft:block/activator_rail_on,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:air,technical_or_nonvisual,technical_nonvisual,nonvisual_or_engine_special,Invisible or technical block with no material-palette geometry.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Technical or nonvisual block. It has no useful visible placed geometry for material selection; collision/render behavior is engine-defined or intentionally invisible.",,,,,,,,none,,1,1,no,minecraft:block/air,,,high,"Average color intentionally omitted because the block is invisible, technical, or non-material."
minecraft:allium,irregular_dependent,cross_planes,dependent_on_support_or_counterpart,"Irregular crossed flat planes with transparent cutout texture, typically plant-like and support/substrate dependent.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Cross-plane geometry: two near-zero-thickness quads cross diagonally through the block center, usually spanning most of y=0..1. The visible silhouette comes from transparent texture pixels, not from cuboid volume; placement normally depends on ground or substrate support.",#AA8FCD,170,143,205,1.000,,,none,,1,1,no,minecraft:block/allium,cross,minecraft:block/allium,medium,
minecraft:amethyst_block,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#8C67C2,140,103,194,1.000,down=#8C67C2;up=#8C67C2;north=#8C67C2;south=#8C67C2;west=#8C67C2;east=#8C67C2,,none,,1,1,no,minecraft:block/amethyst_block,block;cube;cube_all,minecraft:block/amethyst_block,medium,
minecraft:amethyst_cluster,irregular_dependent,cross_planes,dependent_on_support_or_counterpart,"Irregular crossed flat planes with transparent cutout texture, typically plant-like and support/substrate dependent.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Cross-plane geometry: two near-zero-thickness quads cross diagonally through the block center, usually spanning most of y=0..1. The visible silhouette comes from transparent texture pixels, not from cuboid volume; placement normally depends on ground or substrate support.",#AD88D2,173,136,210,1.000,,,none,,1,6,yes,minecraft:block/amethyst_cluster,cross,minecraft:block/amethyst_cluster,medium,
minecraft:ancient_debris,full_cube_different_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with face-dependent visual treatment.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#644A44,100,74,68,1.000,down=#67504A;up=#67504A;north=#634740;south=#634740;west=#634740;east=#634740,down=#67504A;up=#67504A,none,,1,1,no,minecraft:block/ancient_debris,block;cube;cube_column,minecraft:block/ancient_debris_side;minecraft:block/ancient_debris_top,medium,
minecraft:andesite,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#89898A,137,137,138,1.000,down=#89898A;up=#89898A;north=#89898A;south=#89898A;west=#89898A;east=#89898A,,none,stone;neutral,1,1,no,minecraft:block/andesite,block;cube;cube_all,minecraft:block/andesite,medium,
minecraft:andesite_slab,slab,slab,self_supporting_geometry,Half-height or full-height rectangular prism selected by slab type.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. type=bottom occupies [0,0,0]-[1,0.5,1]. type=top occupies [0,0.5,0]-[1,1,1]. type=double is a full cube [0,0,0]-[1,1,1]. Single-slab states are exactly half-height rectangular prisms.",#89898A,137,137,138,1.000,,,none,stone;architectural_shape;neutral,3,3,no,minecraft:block/andesite;minecraft:block/andesite_slab;minecraft:block/andesite_slab_top,block;cube;cube_all;slab;slab_top,minecraft:block/andesite,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:andesite_stairs,stairs,stairs,self_supporting_geometry,"Step-shaped block: half-block base plus one or more quarter/half prisms; straight, inner-corner, and outer-corner variants.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Stairs are a full 1x1x1 cube with step-shaped upper/lower half removed. For half=bottom, shape=straight occupies a full bottom half [0,0,0]-[1,0.5,1] plus one upper half-prism [0.5,0.5,0]-[1,1,1] in the canonical east-facing model, so the side profile is an L and the missing volume is a 0.5x0.5x1 prism; facing rotates that prism to north/east/south/west. half=top mirrors the geometry vertically, putting the full half at y=0.5..1 and the step/void in y=0..0.5. shape=inner_left/inner_right occupies the full lower (or upper, for half=top) half plus an L-shaped pair of 0.5x0.5x1 and 0.5x0.5x0.5 upper/lower prisms, leaving exactly one 0.5x0.5x0.5 corner void; left/right chooses the corner after the facing rotation. shape=outer_left/outer_right occupies the full half plus only one 0.5x0.5x0.5 corner prism in the opposite half, leaving the other three corner quarters empty; left/right chooses the retained corner after facing rotation.",#89898A,137,137,138,1.000,,,none,stone;architectural_shape;neutral,3,40,yes,minecraft:block/andesite_stairs;minecraft:block/andesite_stairs_inner;minecraft:block/andesite_stairs_outer,block;inner_stairs;outer_stairs;stairs,minecraft:block/andesite,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:andesite_wall,coarse_wall,masonry_wall,self_supporting_geometry,Thick multipart wall: optional center post plus low/tall side arms.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Thick wall states are multipart masonry geometry. up=true adds a center post [0.25,0,0.25]-[0.75,1,0.75]. For each of north/east/south/west: value=none adds no arm; value=low adds a thick arm from the post to that face, approximately 0.375 wide, 0.5 long, and 0.875 high; value=tall uses the same footprint but rises to full height y=1. Direction values rotate the canonical north arm [0.3125,0,0]-[0.6875,0.875 or 1,0.5].",#89898A,137,137,138,1.000,,,none,stone;architectural_shape;neutral,3,9,yes,minecraft:block/andesite_wall_post;minecraft:block/andesite_wall_side;minecraft:block/andesite_wall_side_tall,template_wall_post;template_wall_side;template_wall_side_tall,minecraft:block/andesite,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:anvil,irregular_self_supporting,anvil,self_supporting_geometry,"Irregular self-supporting anvil silhouette: broad base, narrow waist, and overhanging top.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Anvil geometry is self-supporting and composed of four stacked cuboid groups: broad base [0.125,0,0.125]-[0.875,0.25,0.875], narrow lower neck around y=0.25..0.3125, central waist around [0.375,0.3125,0.25]-[0.625,0.625,0.75], and overhanging top [0.1875,0.625,0]-[0.8125,1,1]. facing rotates the long top axis.",#474747,71,71,71,1.000,,,none,neutral,1,4,yes,minecraft:block/anvil,block;template_anvil,minecraft:block/anvil;minecraft:block/anvil_top,medium,
minecraft:attached_melon_stem,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/attached_melon_stem -> 3 elements: [0,-0.0625,0.5]-[1,0.4375,0.5] + [0.5,-0.0625,0]-[0.5,0.4375,1] + [0,0,0.5]-[0.5625,1,0.5]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#597437,89,116,55,1.000,,,plains_grass_assumed,wood,1,4,yes,minecraft:block/attached_melon_stem,stem_fruit,minecraft:block/attached_melon_stem;minecraft:block/melon_stem,medium,Tinted textures use the plains biome approximation for color averaging.
minecraft:attached_pumpkin_stem,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/attached_pumpkin_stem -> 3 elements: [0,-0.0625,0.5]-[1,0.4375,0.5] + [0.5,-0.0625,0]-[0.5,0.4375,1] + [0,0,0.5]-[0.5625,1,0.5]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#587336,88,115,54,1.000,,,plains_grass_assumed,wood,1,4,yes,minecraft:block/attached_pumpkin_stem,stem_fruit,minecraft:block/attached_pumpkin_stem;minecraft:block/pumpkin_stem,medium,Tinted textures use the plains biome approximation for color averaging.
minecraft:azalea,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/azalea -> 7 elements: [0,1,0]-[1,1,1] + [0,0.3125,0]-[1,1,0.0006] + [0,0.3125,0.9994]-[1,1,1] + [0,0.3125,0]-[0.0006,1,1] + [0.9994,0.3125,0]-[1,1,1] + [0.0063,0,0.5]-[0.9938,0.9938,0.5] plus 1 more cuboids/planes. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#60772D,96,119,45,1.000,,,none,,1,1,no,minecraft:block/azalea,block;template_azalea,minecraft:block/azalea_plant;minecraft:block/azalea_side;minecraft:block/azalea_top,medium,
minecraft:azalea_leaves,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#5D762C,93,118,44,1.000,down=#5D762C;up=#5D762C;north=#5D762C;south=#5D762C;west=#5D762C;east=#5D762C,,none,vegetation,1,1,no,minecraft:block/azalea_leaves,block;cube;cube_all,minecraft:block/azalea_leaves,medium,
minecraft:azure_bluet,irregular_dependent,cross_planes,dependent_on_support_or_counterpart,"Irregular crossed flat planes with transparent cutout texture, typically plant-like and support/substrate dependent.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Cross-plane geometry: two near-zero-thickness quads cross diagonally through the block center, usually spanning most of y=0..1. The visible silhouette comes from transparent texture pixels, not from cuboid volume; placement normally depends on ground or substrate support.",#BED1A2,190,209,162,1.000,,,none,light,1,1,no,minecraft:block/azure_bluet,cross,minecraft:block/azure_bluet,medium,
minecraft:bamboo,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/bamboo1_age0 -> 1 element: [0.4375,0,0.4375]-[0.5625,1,0.5625] | minecraft:block/bamboo1_age1 -> 1 element: [0.4063,0,0.4063]-[0.5938,1,0.5938] | minecraft:block/bamboo_small_leaves -> 2 elements: [0.05,0,0.5]-[0.95,1,0.5] + [0.5,0,0.05]-[0.5,1,0.95]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#5A8A23,90,138,35,1.000,,,plains_foliage,wood,10,10,no,minecraft:block/bamboo1_age0;minecraft:block/bamboo1_age1;minecraft:block/bamboo2_age0;minecraft:block/bamboo2_age1;minecraft:block/bamboo3_age0;minecraft:block/bamboo3_age1;minecraft:block/bamboo4_age0;minecraft:block/bamboo4_age1;minecraft:block/bamboo_large_leaves;minecraft:block/bamboo_small_leaves,,minecraft:block/bamboo_large_leaves;minecraft:block/bamboo_small_leaves;minecraft:block/bamboo_stalk,medium,Tinted textures use the plains biome approximation for color averaging. Average color is computed across the visible model variants referenced by this block.
minecraft:bamboo_block,full_cube_different_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with face-dependent visual treatment.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#87923D,135,146,61,1.000,down=#82933B;up=#82933B;north=#82933B;south=#82933B;west=#909143;east=#909143,west=#909143;east=#909143,none,wood,3,3,no,minecraft:block/bamboo_block_x;minecraft:block/bamboo_block_y;minecraft:block/bamboo_block_z,block;cube_column_uv_locked_x;cube_column_uv_locked_y;cube_column_uv_locked_z,minecraft:block/bamboo_block;minecraft:block/bamboo_block_top,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:bamboo_button,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Button geometry is a small face-mounted cuboid. face/facing chooses the support face and orientation; powered=true uses a thinner pressed protrusion, while powered=false protrudes farther from the support surface.",#BDAA4D,189,170,77,1.000,,,none,wood,2,24,yes,minecraft:block/bamboo_button;minecraft:block/bamboo_button_pressed,button;button_pressed,minecraft:block/bamboo_planks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:bamboo_door,irregular_dependent,hinged_panel,dependent_on_support_or_counterpart,"Irregular thin hinged panel; open/closed, half, hinge, or facing changes by state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Door-like geometry is a thin vertical panel about 0.1875 blocks thick and one block tall per half. half=lower/upper selects the lower or upper block of the two-block door. facing chooses the panel orientation, hinge selects the pivot side, and open=true rotates the panel around that hinge.",#C6B256,198,178,86,1.000,,,none,wood,8,32,yes,minecraft:block/bamboo_door_bottom_left;minecraft:block/bamboo_door_bottom_left_open;minecraft:block/bamboo_door_bottom_right;minecraft:block/bamboo_door_bottom_right_open;minecraft:block/bamboo_door_top_left;minecraft:block/bamboo_door_top_left_open;minecraft:block/bamboo_door_top_right;minecraft:block/bamboo_door_top_right_open,door_bottom_left;door_bottom_left_open;door_bottom_right;door_bottom_right_open;door_top_left;door_top_left_open;door_top_right;door_top_right_open,minecraft:block/bamboo_door_bottom;minecraft:block/bamboo_door_top,medium,Average color is computed across the visible model variants referenced by this block.
